id,Title,Subject,download_link,sample_paper_id,Class,Exam_Type,language,Subscription_Type,board_type,year
MPBSE_61,Hindi 2025,Hindi,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP%20Board/HINDI/mp-board-class-12-hindi%202025%20(1).pdf,MPBSE_61,Class 12th,Board,English,Basic,MPBSE,2025
MPBSE_62,Mathematics 2017,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/maths/mp-board-class-12-higher-mathematics-2017+.pdf,MPBSE_62,Class 12th,Board,English,Basic,MPBSE,2017
MPBSE_63,Mathematics 2019,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/maths/12th+MATHS+2019+QUESTION+PAPER.pdf,MPBSE_63,Class 12th,Board,English,Basic,MPBSE,2019
MPBSE_64,Mathematics 2022,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Maths+2022+Set+A+E-219.pdf,MPBSE_64,Class 12th,Board,English,Basic,MPBSE,2022
MPBSE_65,Mathematics 2023,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Maths+2023+Set+A.pdf,MPBSE_65,Class 12th,Board,English,Basic,MPBSE,2023
MPBSE_66,Mathematics 2024,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Class+12th+Maths+2024+Set+A.pdf,MPBSE_66,Class 12th,Board,English,Basic,MPBSE,2024
MPBSE_67,Mathematics 2025,Mathematics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_BOARD_Maths_2025.pdf,MPBSE_67,Class 12th,Board,English,Basic,MPBSE,2025
MPBSE_68,Physics 2015,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-h-physics-2015.pdf,MPBSE_68,Class 12th,Board,English,Basic,MPBSE,2015
MPBSE_69,Physics 2016,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-physics-e-443-2016+(1).pdf,MPBSE_69,Class 12th,Board,English,Basic,MPBSE,2016
MPBSE_70,Physics 2020,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-physics-2020+.pdf,MPBSE_70,Class 12th,Board,English,Basic,MPBSE,2020
MPBSE_71,Physics 2022,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-physics-e-217-2022.pdf,MPBSE_71,Class 12th,Board,English,Basic,MPBSE,2022
MPBSE_72,Physics 2023,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Physics++2023+Set+B.pdf,MPBSE_72,Class 12th,Board,English,Basic,MPBSE,2023
MPBSE_73,Physics 2024,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Class+12th+Physics+2024+Set+A.pdf,MPBSE_73,Class 12th,Board,English,Basic,MPBSE,2024
MPBSE_74,Physics 2025,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_BOARD_Physics_2025.pdf,MPBSE_74,Class 12th,Board,English,Basic,MPBSE,2025
